Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,9.88,9.89,9.62,9.63,1231200,9.313398
2013-03-01,9.68,10.24,9.53,9.86,665000,9.535836
2013-02-01,9.77,10.05,9.51,9.78,738400,9.458467
2013-01-02,9.59,10.10,9.41,9.74,931200,9.381989
2012-12-03,9.41,9.96,9.03,9.36,1377600,9.015957
2012-11-01,10.08,10.37,8.88,9.33,562700,8.98706
2012-10-01,9.92,10.50,9.62,10.03,539500,9.619596
2012-09-04,10.09,11.08,9.82,9.88,626700,9.475735
2012-08-01,9.46,10.17,9.20,10.07,426900,9.65796
2012-07-02,9.83,10.25,8.91,9.42,677000,8.997377
2012-06-01,8.75,9.84,8.36,9.80,582600,9.360329
2012-05-01,9.72,9.88,8.78,8.99,565900,8.586669
2012-04-02,9.82,10.03,8.68,9.69,893100,9.215921
2012-03-01,8.85,10.08,8.54,9.86,961400,9.377604
2012-02-01,8.45,9.50,8.03,8.78,1027700,8.350443
2012-01-03,8.64,9.58,8.30,8.33,1147300,7.800575
2011-12-01,7.53,8.80,7.36,8.49,1261500,7.950406
2011-11-01,8.03,8.21,6.58,7.54,1142100,7.060784
2011-10-03,7.69,9.13,7.14,8.30,1698500,7.6404
2011-09-01,10.25,10.30,7.65,7.69,1162200,7.078877
2011-08-01,11.87,11.89,9.08,10.21,1524400,9.398613
2011-07-01,12.84,13.49,11.30,11.65,1446700,10.579705
2011-06-01,14.52,14.59,12.64,12.79,1053200,11.614973
2011-05-02,14.55,14.76,13.75,14.52,696000,13.186037
2011-04-01,14.48,15.25,14.24,14.47,830000,13.021585
2011-03-01,14.08,14.47,13.42,14.37,844500,12.931595
2011-02-01,14.35,15.11,13.85,14.02,812700,12.61663
2011-01-03,13.90,15.03,13.86,14.24,1198700,12.70235
2010-12-01,12.25,14.27,12.09,13.91,818100,12.407984
2010-11-01,12.47,13.36,12.03,12.04,750600,10.739908
2010-10-01,13.80,13.86,12.17,12.42,1094300,10.96556
2010-09-01,12.30,13.96,12.11,13.63,985800,12.033863
2010-08-02,13.47,13.71,11.55,12.06,1185700,10.647717
2010-07-01,13.83,14.86,12.10,13.24,1288300,11.563943
2010-06-01,14.80,15.18,13.73,13.76,1053300,12.018117
2010-05-03,16.209999,17.26,13.96,14.88,1287700,12.996335
2010-04-01,14.53,17.549999,14.50,16.139999,1033200,13.990099
2010-03-01,13.30,15.29,12.96,14.50,875600,12.568553
2010-02-01,13.28,13.69,12.12,13.27,933800,11.502393
2010-01-04,12.26,14.08,12.02,13.20,1275000,11.326144
2009-12-01,10.51,13.18,10.34,12.43,1070500,10.665453
2009-11-02,10.02,10.79,9.24,10.38,904200,8.906468
2009-10-01,10.99,11.54,9.68,9.98,1363600,8.45538
2009-09-01,10.17,11.80,9.38,11.04,1079100,9.353448
2009-08-03,9.90,11.84,9.84,10.30,1112400,8.726496
2009-07-01,8.62,9.94,7.98,9.71,1581000,8.130367
2009-06-01,7.78,8.84,7.52,8.58,1921000,7.184196
2009-05-01,8.25,9.31,7.25,7.71,2144000,6.455729
2009-04-01,8.97,10.82,6.62,8.26,2356200,6.812431
2009-03-02,6.98,10.08,5.90,9.19,2279800,7.579448
2009-02-02,8.84,9.05,5.85,7.15,3459800,5.896959
2009-01-02,16.74,17.25,8.97,9.08,2177500,7.363593
2008-12-01,17.950001,18.120001,15.05,16.48,1136200,13.364758
2008-11-03,18.879999,19.639999,13.59,18.459999,1219300,14.970475
2008-10-01,21.00,21.48,15.87,19.02,1255500,15.18259
2008-09-02,22.09,30.00,18.120001,20.73,1818300,16.547585
2008-08-01,22.50,23.34,19.65,21.85,1216900,17.441618
2008-07-01,19.98,23.83,16.65,22.370001,2147900,17.645287
2008-06-02,23.889999,24.10,20.00,20.08,1168500,15.838952
2008-05-01,23.610001,24.700001,22.25,23.860001,1396900,18.820587
2008-04-01,27.74,29.26,23.049999,23.700001,2092300,18.491182
2008-03-03,26.120001,29.129999,24.190001,27.16,1924000,21.190737
2008-02-01,27.18,27.92,24.790001,26.17,1549900,20.418322
2008-01-02,23.219999,27.25,19.75,27.18,1719800,20.998907
2007-12-03,25.00,26.84,22.50,23.27,986300,17.978092
2007-11-01,25.620001,25.82,23.059999,25.040001,1216900,19.345572
2007-10-01,26.48,27.969999,25.120001,25.99,810100,19.867994
2007-09-04,26.040001,29.99,25.23,26.530001,905600,20.280796
2007-08-01,23.50,27.540001,22.469999,26.07,1380100,19.92915
2007-07-02,25.15,25.51,23.120001,23.549999,746100,17.815886
2007-06-01,26.799999,27.02,24.35,25.040001,512900,18.943092
2007-05-01,26.540001,27.639999,26.07,26.66,434800,20.168642
2007-04-02,26.50,28.110001,25.75,26.559999,687100,19.899
2007-03-01,28.01,28.34,26.299999,26.59,804800,19.921476
2007-02-01,29.610001,30.559999,27.85,28.280001,545700,21.187641
2007-01-03,30.26,30.49,29.23,29.59,417900,21.972784
2006-12-01,29.85,30.940001,29.51,30.16,321800,22.396051
2006-11-01,29.25,30.01,28.200001,29.90,515800,22.202982
2006-10-02,30.870001,31.49,28.700001,29.01,508100,21.364119
2006-09-01,30.74,31.75,30.280001,30.82,386900,22.697073
2006-08-01,29.65,30.82,29.309999,30.700001,349500,22.608702
2006-07-03,30.469999,31.40,28.85,29.75,434100,21.734159
2006-06-01,30.25,31.50,29.33,30.450001,498900,22.245552
2006-05-01,31.299999,31.76,29.059999,30.26,447000,22.106747
2006-04-03,30.889999,31.879999,29.60,31.32,629500,22.703251
2006-03-01,28.83,31.950001,28.629999,30.959999,622000,22.442293
2006-02-01,28.82,29.110001,27.25,28.67,436700,20.782318
2006-01-03,29.299999,30.60,28.59,28.799999,500100,20.697031
2005-12-01,28.48,30.35,28.469999,29.40,359200,21.12822
2005-11-01,27.84,29.280001,27.290001,28.280001,418000,20.323336
2005-10-03,26.549999,29.00,24.43,27.950001,683700,19.945522
2005-09-01,28.030001,28.25,25.700001,26.42,431400,18.853693
2005-08-01,27.91,28.309999,26.84,27.93,364200,19.93125
2005-07-01,28.60,30.200001,27.76,27.940001,529300,19.791349
2005-06-01,27.65,28.85,27.139999,28.469999,367400,20.166775
2005-05-02,26.50,28.209999,26.209999,27.540001,420000,19.508009
2005-04-01,25.360001,26.75,23.799999,26.51,501200,18.640583
2005-03-01,37.59,38.089996,24.700001,25.299999,403800,17.789768
2005-02-01,37.630005,39.079994,36.700005,37.579994,549000,17.616322
2005-01-03,39.940006,40.800003,36.449997,37.639996,623100,17.503443
2004-12-01,41.500004,41.719994,39.589996,39.970005,364800,18.586948
2004-11-01,39.09,41.52,38.950005,41.500004,457700,19.298433
