Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,52.060001,52.259998,51.720001,52.150002,4906200,49.067764
2013-03-01,50.09,52.490002,49.57,52.02,3340000,48.945446
2013-02-01,53.549999,54.07,48.169998,49.950001,4699500,46.997791
2013-01-02,54.389999,54.439999,51.049999,53.060001,3408200,49.57098
2012-12-03,53.18,54.93,51.860001,53.119999,2652000,49.627033
2012-11-01,49.959999,53.139999,49.080002,52.990002,3081400,49.505585
2012-10-01,48.18,50.459999,47.25,49.779999,2498200,46.179279
2012-09-04,46.259998,50.240002,45.799999,47.880001,2750300,44.416714
2012-08-01,44.130001,46.919998,42.389999,46.18,2753900,42.839676
2012-07-02,42.880001,44.27,40.970001,43.779999,2877400,40.32103
2012-06-01,39.18,42.810001,38.130001,42.59,3367900,39.225052
2012-05-01,44.970001,46.16,38.84,40.080002,3981300,36.913361
2012-04-02,45.900002,46.580002,40.52,45.040001,4185500,41.165779
2012-03-01,47.369999,48.220001,44.369999,45.990002,3304500,42.034061
2012-02-01,48.189999,50.330002,46.150002,47.25,3747400,43.18568
2012-01-03,44.48,49.59,42.299999,48.23,4518500,43.780392
2011-12-01,43.349998,45.560001,39.57,43.259998,3607200,39.268913
2011-11-01,42.98,46.540001,38.93,43.439999,3999200,39.432308
2011-10-03,34.50,47.98,32.740002,45.09,5559200,40.629059
2011-09-01,37.810001,37.990002,31.25,34.950001,5627100,31.49225
2011-08-01,46.799999,46.889999,34.34,37.720001,5966600,33.988205
2011-07-01,46.779999,47.50,44.060001,46.060001,3917500,41.169735
2011-06-01,47.84,47.84,44.150002,46.68,4387700,41.723907
2011-05-02,56.540001,56.650002,47.50,47.790001,4845900,42.716057
2011-04-01,53.32,57.389999,51.25,56.189999,3428600,49.945293
2011-03-01,59.049999,59.540001,48.00,52.779999,5391600,46.914265
2011-02-01,57.889999,59.490002,56.00,58.860001,3354100,52.318562
2011-01-03,56.98,58.84,54.799999,57.580002,3447900,50.909927
2010-12-01,52.779999,57.490002,52.23,56.43,2596700,49.893143
2010-11-01,56.279999,58.310001,50.889999,51.50,3353900,45.534233
2010-10-01,52.43,56.98,50.919998,55.889999,3016000,49.144424
2010-09-01,48.040001,53.880001,48.00,51.709999,3242700,45.468925
2010-08-02,50.060001,51.599998,44.349998,47.25,3794100,41.547222
2010-07-01,43.150002,51.84,41.549999,49.189999,5300600,42.999496
2010-06-01,43.630001,46.200001,39.91,42.669998,5253600,37.30003
2010-05-03,51.400002,51.740002,40.32,44.299999,7432000,38.724899
2010-04-01,54.73,56.560001,48.73,50.959999,3894400,44.275002
2010-03-01,49.66,55.200001,49.529999,54.290001,2770400,47.168167
