Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,38.249996,38.559998,37.529995,37.860008,8165000,28.223976
2013-03-01,35.699997,38.409996,34.380005,38.150002,4948600,28.440161
2013-02-01,40.740002,41.489998,35.049999,35.820004,5265300,26.703188
2013-01-02,35.599998,40.709995,35.459999,40.500004,5393600,30.092096
2012-12-03,34.720001,36.400002,33.580006,34.819996,3395900,25.871769
2012-11-01,37.740002,38.219997,33.020004,34.489998,4260200,25.626575
2012-10-01,36.060005,40.799995,34.480003,37.740002,4533500,27.944778
2012-09-04,37.860008,39.540005,35.110001,35.779999,4130500,26.493484
2012-08-01,37.279999,38.920006,35.75,38.140003,2632500,28.240961
2012-07-02,32.529995,37.939995,31.980007,37.000004,4875500,27.301252
2012-06-01,30.459997,33.030003,28.730005,32.529995,4639000,24.002962
2012-05-01,38.350006,39.34,30.740002,31.270006,5035600,23.07325
2012-04-02,36.889996,38.77,35.110001,38.060001,3388400,27.981457
2012-03-01,40.240009,41.709999,36.649998,37.470009,4553100,27.547699
2012-02-01,35.290001,40.450001,35.150009,40.180004,5517700,29.54007
2012-01-03,31.210003,37.420002,29.850006,34.840008,5434400,25.519545
2011-12-01,34.480003,36.140003,29.850006,30.219997,4382100,22.135489
2011-11-01,34.610004,38.600002,32.380005,34.530006,5454100,25.292477
2011-10-03,28.740004,37.720005,27.330002,35.939999,6211700,26.213831
2011-09-01,33.980007,35.84,29.32,29.349997,4861600,21.407232
2011-08-01,37.839996,37.929996,27.679996,33.760002,6244600,24.623793
2011-07-01,39.380005,39.940006,35.950008,36.869999,4981000,26.765013
2011-06-01,41.870003,42.480003,37.109997,39.41,3837500,28.608873
2011-05-02,43.149998,43.569996,39.02,41.870003,4446400,30.394661
2011-04-01,45.930004,46.429996,40.799995,43.009998,4151600,31.121572
2011-03-01,45.430004,46.720001,42.360001,45.619999,5884100,33.010143
2011-02-01,38.330006,44.759998,37.150009,44.710003,6284600,32.351681
2011-01-03,36.089996,38.380001,35.100002,38.249996,10855500,27.577272
2010-12-01,34.520008,35.869995,33.120003,35.77,4348000,25.789257
2010-11-01,34.909996,38.580009,33.500004,33.920002,4554400,24.455458
2010-10-01,34.119995,36.270008,32.950005,34.530006,4312200,24.801647
2010-09-01,31.629999,36.00,31.48,33.789997,5431600,24.270126
2010-08-02,33.069996,36.950001,30.229996,31.120005,4304800,22.352367
2010-07-01,30.91,33.459999,29.029997,32.50,7558300,22.913057
2010-06-01,28.050001,32.230007,26.23,30.91,12072500,21.79208
2010-05-03,39.579998,39.890003,27.519997,29.070002,11610000,20.494848
2010-04-01,42.480003,43.93,38.040005,39.490002,6537400,27.809093
2010-03-01,42.68,44.730003,39.230007,41.819996,4505000,29.44989
2010-02-01,41.150002,43.32,38.500008,42.260002,5184100,29.759745
2010-01-04,41.380001,45.600006,39.279995,40.319996,4426500,28.361483
2009-12-01,41.900009,42.599998,39.269997,40.699997,4223500,28.628778
2009-11-02,41.179996,45.180008,38.619999,41.310005,5043200,29.057863
2009-10-01,37.900002,45.090008,35.869995,40.740002,4935900,28.623722
2009-09-01,34.810001,39.599995,33.610001,37.960003,4777800,26.670509
2009-08-03,34.560001,37.759998,32.480003,35.030003,4567500,24.611906
2009-07-01,30.580002,34.390003,27.560001,33.860001,5771700,23.724783
2009-06-01,35.27,37.50,30.229996,30.250004,6751000,21.195358
2009-05-01,27.349997,34.840008,27.269999,34.370007,7981300,24.08213
2009-04-01,23.750002,29.269997,23.030003,27.330002,8992300,19.149391
2009-03-02,23.849998,27.509996,21.760004,24.089998,17243600,16.879208
2009-02-02,26.569996,29.259996,23.139997,24.590008,10961800,17.229551
2009-01-02,22.290007,28.479996,20.029999,27.150003,10192000,18.99655
2008-12-01,25.599998,27.230003,19.230001,22.09,7383200,15.456123
2008-11-03,32.189999,33.490009,19.760004,26.789999,6623400,18.744658
2008-10-01,43.600002,43.620003,22.250002,32.209995,10033800,22.505133
2008-09-02,49.010006,49.860004,39.890003,43.900005,7366300,30.672945
2008-08-01,51.34,53.880001,46.669994,50.290001,5302100,35.137634
2008-07-01,65.00,67.120003,50.440006,51.870007,6725400,36.211956
2008-06-02,63.000004,68.989998,60.520004,64.960007,5746500,45.350464
2008-05-01,56.02,67.030006,53.600006,63.140007,6008600,44.079868
2008-04-01,49.68,59.630009,48.499996,56.279999,5613400,39.265594
2008-03-03,49.000004,50.990002,44.820004,49.670002,4737300,34.218056
2008-02-01,44.999996,51.780006,41.520004,49.150009,5366000,33.859829
2008-01-02,56.579998,58.09,40.400005,43.680004,6588300,30.06616
2007-12-03,52.229996,57.639996,49.030003,56.509998,3996700,38.897404
2007-11-01,52.500004,56.460007,49.040001,52.130001,5496100,35.882526
2007-10-01,49.570004,54.50,46.210007,52.950008,5646800,36.419788
2007-09-04,49.060009,51.700005,46.200008,49.049995,5508200,33.737305
2007-08-01,102.389992,104.37001,48.819996,49.060009,7192200,33.730778
2007-07-02,98.419998,108.57,96.819992,102.460014,7629600,35.22274
2007-06-01,93.250008,99.039993,88.170006,97.520012,7153900,33.524513
2007-05-01,83.390007,93.98999,83.390007,92.389999,6504900,31.760967
