Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,56.589993,56.989998,55.529991,55.689995,1737400,37.832478
2013-03-01,53.759995,58.500004,52.910004,56.580006,816200,38.437099
2013-02-01,54.199993,57.790009,52.180004,54.319996,1291000,36.901783
2013-01-02,49.630001,53.999996,47.669994,53.610001,1358500,36.271408
2012-12-03,45.779999,48.119999,44.049995,47.829998,1345800,32.360779
2012-11-01,39.490002,47.729996,37.149998,45.049992,2122300,30.479883
2012-10-01,37.079994,39.969997,36.150002,39.490002,1907800,26.562927
2012-09-04,40.030003,42.629997,36.270004,37.160004,1531200,24.995653
2012-08-01,36.98,42.849998,35.859997,40.160004,2468400,27.013605
2012-07-02,46.07,46.490009,32.589996,36.200001,2597000,24.2157
2012-06-01,46.179996,49.869995,41.810001,45.790001,1851200,30.630856
2012-05-01,56.620003,57.299992,47.34,47.700005,2012500,31.908539
2012-04-02,50.779999,57.940002,47.640003,56.510002,1796800,37.637371
2012-03-01,52.599998,54.869995,49.310005,50.740002,1187200,33.794376
2012-02-01,49.460003,54.189991,49.099995,52.400002,1244700,34.899986
2012-01-03,40.100006,50.419994,38.919998,48.829994,1502100,32.378429
2011-12-01,41.779995,43.389996,36.249996,38.710003,1339700,25.668016
2011-11-01,40.220005,44.999996,37.019997,42.009998,1243700,27.856194
2011-10-03,32.390003,45.449997,30.17,42.119995,2135600,27.798443
2011-09-01,39.359997,39.509995,31.16,32.82,1865600,21.660612
2011-08-01,44.669994,44.920006,32.440002,39.349995,2573800,25.970293
2011-07-01,50.329994,52.860004,42.729996,43.669994,1574800,28.670797
2011-06-01,51.470001,51.790001,45.769997,50.399998,1339900,33.089268
2011-05-02,56.799992,56.950001,47.329998,51.620003,1416600,33.89024
2011-04-01,52.589996,57.830002,47.259995,56.390003,1264100,36.871929
2011-03-01,48.789997,52.400002,44.320004,52.300003,1077500,34.19759
2011-02-01,47.57,52.689991,46.420006,48.719994,1213600,31.856716
2011-01-03,48.229996,52.460003,46.980007,47.02,1352300,30.637383
2010-12-01,44.329994,49.349998,44.329994,47.729996,850100,31.100002
2010-11-01,41.849998,45.129997,41.499992,43.559998,1362400,28.382904
2010-10-01,38.789993,43.430004,37.380001,41.420002,1123300,26.874752
2010-09-01,33.550003,39.59,33.409992,38.359997,1162400,24.889315
2010-08-02,34.139996,35.98,31.469995,32.709999,1435100,21.223396
2010-07-01,25.999998,34.199997,24.84,33.619991,1606300,21.732689
2010-06-01,28.379999,30.319998,25.879997,25.989998,1223000,16.800497
2010-05-03,35.469997,35.679993,26.800005,28.790003,1428100,18.610481
2010-04-01,30.230005,35.900005,30.099997,35.179993,1048900,22.647161
2010-03-01,26.400003,30.689993,26.360008,30.010004,954200,19.318975
2010-02-01,22.549995,26.749992,22.030005,26.230001,1334500,16.885593
2010-01-04,23.879995,27.020004,22.370007,22.410002,1363700,14.376874
2009-12-01,24.879995,25.300005,22.979992,23.709995,1068500,15.21087
2009-11-02,22.259993,26.120003,21.609997,24.669998,1221100,15.826748
2009-10-01,23.250006,24.309992,20.839998,22.030005,1005900,14.082779
2009-09-01,21.020002,24.850002,20.080002,23.429995,1139900,14.977728
2009-08-03,20.499996,22.389999,19.269995,21.109997,923500,13.494659
2009-07-01,17.209991,21.18,16.100006,20.379993,1169100,12.968966
2009-06-01,17.219995,19.459999,16.459997,17.080002,977700,10.86899
2009-05-01,15.999993,18.499994,15.499993,16.91,1279000,10.760809
2009-04-01,13.330006,17.229996,12.53,16.08,1685900,10.178335
2009-03-02,11.909997,15.710005,9.880003,13.959997,2072900,8.836413
2009-02-02,14.739998,15.380005,11.560007,12.179996,1826900,7.709706
2009-01-02,19.719995,20.980007,14.449994,14.889995,1586800,9.299785
2008-12-01,14.700002,19.750002,12.999992,19.630001,1425600,12.260232
2008-11-03,15.860001,17.179998,10.959995,14.509996,1643900,9.06245
2008-10-01,28.249994,28.730003,12.880004,15.880006,1881400,9.786744
2008-09-02,32.780003,32.780003,24.219999,28.350004,1249400,17.471922
2008-08-01,33.019993,34.139996,30.83,32.32,893900,19.918604
2008-07-01,31.979998,37.459995,26.889999,33.019993,1625400,20.239674
2008-06-02,36.600002,37.660004,32.529995,32.940002,949100,20.190641
2008-05-01,36.160004,38.239998,35.259998,36.629997,913300,22.452433
2008-04-01,29.840002,38.739998,29.520006,36.150002,996800,22.054588
2008-03-03,30.149998,30.709999,28.099998,29.720001,1052800,18.131739
2008-02-01,30.060003,32.440002,29.649998,30.129993,886200,18.381868
2008-01-02,32.66,33.16,25.819996,30.230005,1000200,18.341551
2007-12-03,32.000004,34.330002,30.919996,32.849991,608400,19.931185
2007-11-01,32.859997,32.859997,28.950003,31.890003,800800,19.348726
2007-10-01,37.040001,38.779991,31.249994,33.259998,841500,20.069534
2007-09-04,35.390007,37.500008,32.440002,37.149998,674900,22.416813
2007-08-01,33.419994,37.260002,30.629993,35.560005,1011100,21.457388
2007-07-02,36.289993,38.25,33.259998,33.400005,760900,20.053421
2007-06-01,35.220005,36.729992,33.380001,36.110004,804000,21.680508
2007-05-01,32.929996,35.209999,32.689995,35.160004,813900,21.110126
2007-04-02,30.440001,33.440002,30.350006,32.98,920400,19.707542
2007-03-01,28.199995,30.790005,27.429996,30.309994,1023900,18.112055
2007-02-01,28.809996,30.020008,28.039997,28.579992,1011700,17.078274
2007-01-03,29.180006,29.440001,27.799992,28.610001,850800,17.002562
2006-12-01,29.749994,31.039997,28.549997,29.180006,752800,17.341307
2006-11-01,30.220001,31.519993,28.840002,29.740007,801600,17.674109
2006-10-02,29.180006,31.890003,27.599998,30.049999,1177200,17.763721
2006-09-01,32.149998,34.990002,29.049999,29.780003,1566700,17.604115
2006-08-01,32.249996,34.209999,31.49,32.039997,743900,18.940086
2006-07-03,33.93,34.469994,29.340002,32.199997,762700,18.943073
2006-06-01,31.369997,33.66,27.680004,33.509991,730800,19.713736
2006-05-01,34.400009,35.380001,29.099998,31.43,693000,18.490088
2006-04-03,32.27,36.249996,30.900003,34.900005,928200,20.435385
2006-03-01,28.829998,33.290005,28.329998,32.27,852600,18.895409
2006-02-01,33.500004,33.500004,26.570002,28.680004,1638000,16.79332
2006-01-03,32.120007,36.579998,31.649998,36.169991,604100,21.064037
2005-12-01,31.070005,32.840004,30.859995,32.019993,576000,18.647236
2005-11-01,28.290003,31.350006,28.199995,30.979998,605900,18.04158
2005-10-03,29.740007,29.749994,25.250006,28.359993,1088300,16.433048
2005-09-01,29.299994,30.060003,26.699993,29.629992,849400,17.168941
2005-08-01,26.489998,29.400003,26.369995,29.369997,1395000,17.01829
2005-07-01,23.250006,28.139994,22.90,26.469994,725800,15.255702
2005-06-01,23.499998,25.50,22.800003,23.099997,758500,13.31344
2005-05-02,24.84,25.400002,22.960003,23.499998,788900,13.543977
2005-04-01,26.999998,27.680004,24.259995,24.84,942800,14.227134
2005-03-01,28.249994,29.500002,22.73,27.340002,1203300,15.659012
2005-02-01,26.900003,28.759995,26.249992,28.299994,849600,16.208847
2005-01-03,25.649994,26.999998,23.089993,25.759995,724400,14.674024
2004-12-01,26.120003,27.50,25.50,26.020004,561400,14.822136
2004-11-01,23.999998,25.999998,23.67,25.999998,620300,14.81074
2004-10-01,24.750004,26.340002,22.819992,23.999998,498100,13.598461
2004-09-01,23.099997,24.790003,23.01,24.620001,398900,13.949756
2004-08-02,24.829998,24.869993,22.499998,23.250006,459200,13.173513
2004-07-01,26.489998,26.489998,23.559999,24.84,592100,13.997753
2004-06-01,22.800003,26.489998,22.700005,26.489998,524300,14.927554
2004-05-03,21.999996,23.300003,20.810005,22.790001,458600,12.842544
2004-04-01,23.350002,24.470005,21.750004,22.059999,436700,12.354619
2004-03-01,21.999996,24.690004,19.870005,23.23,565100,13.009874
2004-02-02,22.350002,23.889997,21.099995,21.979992,577800,12.309812
2004-01-02,20.200005,24.699993,18.74,22.049995,1230700,12.277506
2003-12-01,17.229996,20.319994,16.980003,20.059998,577900,11.169468
2003-11-03,16.779995,17.250002,16.119997,17.129999,460300,9.538036
2003-10-01,15.320004,16.999994,15.310001,16.779995,722100,9.270679
2003-09-02,16.800001,19.250002,14.760003,15.239998,1339800,8.419856
2003-08-01,15.299999,16.970001,14.550006,16.700003,951700,9.226485
2003-07-01,17.519999,17.750002,15.019999,15.299999,843800,8.381085
2003-06-02,16.899998,18.080002,16.349998,17.509998,688000,9.591686
2003-05-01,17.729996,18.100006,16.030003,16.379992,585600,8.972688
2003-04-01,15.779995,18.499994,15.590002,17.700003,577300,9.623739
2003-03-03,16.150003,16.609995,14.880005,15.619996,581100,8.49281
2003-02-03,17.300001,17.530003,14.880005,16.030003,1043300,8.715736
2003-01-02,19.200005,20.460001,15.949996,17.310003,345700,9.332445
2002-12-02,19.85,20.269995,18.559998,19.099993,248100,10.297493
2002-11-01,18.100006,20.049994,16.999994,19.85,270300,10.701849
2002-10-01,16.700003,19.150005,14.920001,18.219994,315900,9.751949
2002-09-03,18.200003,18.600006,16.540005,16.750002,286800,8.965159
2002-08-01,19.989994,20.099993,16.600006,18.260006,319400,9.773364
2002-07-01,22.499998,23.999998,17.040005,19.959999,464700,10.611666
2002-06-03,22.400002,24.939997,20.499996,22.329996,519100,11.871667
2002-05-01,26.649994,27.410006,22.149994,22.400002,420600,11.908884
2002-04-01,23.200005,26.999998,22.67,26.649994,382400,14.098476
2002-03-01,17.899998,24.50,17.879993,23.089993,587400,12.215152
